method,variant,n_units,pnl_mean,pnl_sd,pnl_se,nd_pnl_mean,pnl_map_mean,profit_ratio_mean,sharpe_mean,mean_inventory_mean,mean_abs_inventory_mean,mean_quoted_spread_mean,buy_notional_mean,label
soft_as_lam_0p125,soft_as,9,76.60101010100783,90.6447029814966,30.2149009938322,1281.757469812334,1.358046395229908,0.00048808771058400646,2.335984567939863,-18.9945044709389,76.0853928630568,0.04536765086765079,241292.6818181818,Soft AS lambda=0.125
soft_as_low_risk_lam_0p10,soft_as,9,73.95959595959351,85.11534906774068,28.371783022580228,1220.6149636570776,1.5048337370674245,0.0005491166883706022,2.4957457943308587,-7.1483275376718005,56.51183970856102,0.046502564102564065,227532.20707070705,Soft AS low-risk lambda=0.10
soft_as_lam_0p05,soft_as,9,73.4696969696952,87.30905079795191,29.103016932650636,1228.8246987234315,1.4319422751094624,0.0006291649237844723,2.4330128780842935,-2.6667805100182154,45.355449991720484,0.047937891737891626,252276.94949494948,Soft AS lambda=0.05
soft_as_high_risk_lam_0p10,soft_as,9,73.13131313131132,85.45259440605142,28.48419813535047,1228.347811762876,1.3599356722536284,0.0005369334612906455,2.363476854652098,-12.859641496936579,81.4192126179831,0.045771502848715465,242984.15656565657,Soft AS high-risk lambda=0.10
soft_as_fill_kappa_lam_0p10,soft_as,9,69.32828282828137,79.1781904038531,26.392730134617697,1208.2018404587066,1.4062992924400577,0.00048046733178385066,2.3910605497879063,-8.697373323397914,54.56175484351714,0.044872079772079666,255032.66666666666,Soft AS fill-kappa lambda=0.10
soft_as_lam_0p10,soft_as,9,69.28787878787733,79.21168286609706,26.40389428869902,1206.968689727625,1.406138563600142,0.0004800345775474243,2.3887436087871277,-8.656751945686374,54.50457443285312,0.04487013727013717,254999.095959596,Soft AS lambda=0.10
soft_as_lam_0p20,soft_as,9,67.99999999999756,80.95069155238576,26.983563850795253,1061.4380477632092,1.4461318097176126,0.0005004469174416646,2.2126917877511385,-13.23558329193575,68.46565035601921,0.047917390198985256,206606.59595959596,Soft AS lambda=0.20
profit_ppo,profit_ppo,9,66.0303030303013,89.1841320013044,29.728044000434803,1029.5724519405085,2.164219793607627,0.0004301091595377181,2.371035398621304,-0.6124254843517137,27.177254098360656,0.05365283605283596,240447.0707070707,Profit PPO
soft_as_lam_0p03,soft_as,9,64.6919191919182,76.41480218291278,25.471600727637593,1121.1395566256163,1.3862048824380881,0.0005807390426438409,2.2587361418015566,-1.1542163437655237,43.49773348236463,0.04656045066045057,250616.1919191919,Soft AS lambda=0.03
hard_as_w0p30,hard_as,9,61.656565656563686,79.03060367808365,26.343534559361217,895.7130387075492,1.9122757439239892,0.0005581814492584919,2.413857313518327,-2.5309446928299386,25.97180824639841,0.05569013209013202,208355.64646464644,Hard AS w=0.30
paper_cppo,paper_cppo,9,59.67676767676531,82.9034975075806,27.634499169193532,806.7739781710388,2.7933036770936712,0.0004246387805203267,2.129397867900847,-1.199236214605067,19.711717585692995,0.06238137788137784,185604.0707070707,Paper C-PPO
soft_as_spread_kappa_lam_0p10,soft_as,9,57.732323232322315,78.56556667369196,26.188522224563986,895.0375349246425,1.2506562048807819,0.0007027730691206988,1.78702743141032,-4.704835237622124,47.10734393111442,0.05603680393680387,227459.05050505052,Soft AS spread-kappa lambda=0.10
as_empirical_matched,as_baseline,3,21.80303030302979,12.065106895826199,6.9657927141068665,422.23975500811986,0.5547853644200275,0.000391868914650622,0.763114733512723,-39.302347242921016,102.72447839046201,0.05668505068201643,59629.484848484855,AS direct
