method,stock,train_seed,episodes,pnl,nd_pnl,sharpe,mean_abs_inventory,mean_quoted_spread,buy_notional,fills,abs_volume,max_abs_inventory,as_pnl,as_nd_pnl,as_sharpe,as_mean_abs_inventory
soft_as_low_risk_lam_0p10,000001,0,22,9.818181818181705,341.752947301968,0.5769948939603173,127.44737332339791,0.02921655011655032,18249.772727272728,236.5,24400.0,650.0,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824
soft_as_low_risk_lam_0p10,000001,1,22,8.500000000000073,243.8553737796616,0.700036645288232,42.76965350223547,0.03506993006993032,9277.90909090909,124.0,12400.0,300.0,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824
soft_as_low_risk_lam_0p10,000001,2,22,10.681818181818233,307.0451953644572,0.7975769618292006,40.960320417287626,0.03464871794871818,9506.40909090909,127.0,12700.0,250.0,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824
soft_as_low_risk_lam_0p10,000001,3,22,11.045454545454431,341.81923979168397,1.2067550514496466,22.235935171385993,0.03256386946386969,12579.318181818182,167.5,16800.0,300.0,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824
soft_as_low_risk_lam_0p10,000001,4,22,5.7727272727271695,178.8887871355956,0.48852536835784693,87.56054396423248,0.031755244755244987,12422.09090909091,161.5,16600.0,600.0,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824
soft_as_low_risk_lam_0p10,000858,0,22,204.18181818181165,2800.8089923356183,4.598952366456072,65.10339046199702,0.07291002331002322,587555.9090909091,991.0,99200.0,450.0,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933
soft_as_low_risk_lam_0p10,000858,1,22,167.86363636363058,2242.6149816964407,4.5377841283012605,53.23211624441133,0.07482937062937045,543179.2272727273,916.5,91700.0,350.0,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933
soft_as_low_risk_lam_0p10,000858,2,22,187.181818181813,2867.645626518192,4.451831888133767,70.31715722801788,0.0652829836829833,712509.0454545454,1202.5,120300.0,400.0,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933
soft_as_low_risk_lam_0p10,000858,3,22,207.6818181818114,3049.2652772944643,4.919883203432429,69.23202309985096,0.0681347319347314,708939.7272727273,1196.0,119700.0,400.0,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933
soft_as_low_risk_lam_0p10,000858,4,22,187.68181818181174,2486.757088813083,4.827832468574256,54.03315946348733,0.0754627039627037,544332.4090909091,918.0,91900.0,350.0,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933
soft_as_low_risk_lam_0p10,002415,0,22,26.318181818180207,727.1367505864686,2.2972348608768574,34.04433681073025,0.03622074592074584,54616.681818181816,343.5,34400.0,400.0,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502
soft_as_low_risk_lam_0p10,002415,1,22,24.772727272725866,690.6377354765611,2.2780554849782955,35.67669523099851,0.035885780885780774,55089.27272727273,346.5,34700.0,450.0,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502
soft_as_low_risk_lam_0p10,002415,2,22,26.318181818180268,764.0370698543302,2.223244919153727,39.05551415797317,0.0344589743589742,57805.63636363636,363.5,36400.0,350.0,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502
soft_as_low_risk_lam_0p10,002415,3,22,26.90909090908932,737.4971049727988,2.4280729411073065,32.52840909090909,0.03658601398601388,54453.90909090909,343.0,34300.0,300.0,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502
soft_as_low_risk_lam_0p10,002415,4,22,22.86363636363504,577.935941117265,1.7873834925452743,39.54918032786885,0.03960909090909085,37933.72727272727,238.0,23900.0,250.0,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502
