method,variant,latency_events,teacher_l2_diff_mean,teacher_abs_bias_diff_mean,teacher_abs_spread_diff_mean,fills_per_episode,max_abs_inventory_mean
paper_cppo,paper_cppo,1,0.4601673547470826,0.363416580399086,0.2607994070974109,31.414141414141415,109.5959595959596
paper_cppo,paper_cppo,5,0.4637259420362405,0.3683153605530836,0.2607945003941098,44.05050505050505,250.5050505050505
paper_cppo,paper_cppo,10,0.4682610293497963,0.37504267219810383,0.26079351405409695,54.994949494949495,374.24242424242425
paper_cppo,paper_cppo,20,0.4716661023895302,0.3799167030032977,0.2607858946069298,64.98484848484848,534.3434343434343
paper_cppo,paper_cppo,50,0.47411003861038603,0.3824736809898243,0.2607503816247001,76.36868686868686,802.5252525252525
profit_ppo,profit_ppo,1,0.46122923819887635,0.3662832443116261,0.22958361168339658,42.015151515151516,146.46464646464648
profit_ppo,profit_ppo,5,0.4674964861668316,0.37668459321174924,0.2295774568373841,58.92929292929293,277.77777777777777
profit_ppo,profit_ppo,10,0.4709560468298061,0.38325801475315946,0.22956858317278764,70.63131313131314,400.0
profit_ppo,profit_ppo,20,0.4740586587890712,0.38878226916529035,0.22955117745817685,82.72727272727273,577.7777777777778
profit_ppo,profit_ppo,50,0.4735929030111362,0.39162834766060023,0.22949159099265895,93.04040404040404,835.3535353535353
soft_as_low_risk_lam_0p10,soft_as,1,0.22596034753254365,0.169086511374282,0.1271717025581588,48.35353535353536,237.87878787878788
soft_as_low_risk_lam_0p10,soft_as,5,0.22677202269744942,0.1688950498447295,0.12714421650289046,79.70202020202021,514.1414141414141
soft_as_low_risk_lam_0p10,soft_as,10,0.22975850078983243,0.17229388046536395,0.12710581407132332,103.97474747474747,733.3333333333334
soft_as_low_risk_lam_0p10,soft_as,20,0.23050181956333218,0.1728164194747783,0.12703169302616943,123.53535353535354,897.4747474747475
soft_as_low_risk_lam_0p10,soft_as,50,0.23497154886717372,0.1786879986661048,0.12680833115334855,128.36868686868686,986.3636363636364
